Battle,battle_location,Enemy,Lvl,HP,XP,GP,AtkMult,HitPercent,Atk,DefMul,Evade,Defense,MDefMult,MagicEvade,MDef,MinSpd,MaxSpd,SpellPower,ScriptValue1,ScriptValue2,ScriptValue3,ScriptValue4
antlion,Antlion Cave,Antlion,2,1000,1500,800,2,85,11,0,0,2,2,60,8,5,5,0,,,,
antlion,Asura (Feymarch),Antlion,63,23000,20000,0,10,99,134,0,0,0,8,80,37,66,66,0,,,,
antlion,Cave Bahamut,Antlion,47,37000,35000,0,13,99,174,0,0,1,1,60,8,27,27,0,,,,
antlion,Baigan (Baron Castle 1),Antlion,9,4200,4820,3000,4,99,52,0,0,0,3,60,11,8,8,0,,,,
antlion,Calbrena (Dwarf Castle 1),Antlion,47,8524,21000,8000,7,99,96,0,0,2,6,60,25,11,11,0,,,,
antlion,CPU (Giant 2),Antlion,48,24000,150000,10333,13,99,174,0,0,4,8,50,38,38,38,0,,,,
antlion,Cave Magnes,Antlion,19,5000,7000,9000,4,99,54,0,0,3,99,99,254,11,11,0,,,,
antlion,Dark Imp (Tower Key),Antlion,16,597,5820,135,5,70,56,0,0,0,0,0,0,18,21,0,,,,
antlion,D Lunar (Lunar Sub),Antlion,99,42000,100000,0,11,85,144,0,0,4,10,80,54,30,30,0,,,,
antlion,Mist Cave,Antlion,10,465,700,200,2,90,16,0,0,5,7,80,31,5,5,0,,,,
antlion,Elements (Giant 1),Antlion,79,65000,102500,20000,10,80,128,0,0,3,3,60,4,89,89,0,,,,
antlion,Sealed Cave,Antlion,37,19000,23000,8000,6,90,84,0,0,2,7,80,29,66,66,0,,,,
antlion,Fabul Defense,Antlion,15,1880,5590,1425,3,90,36,0,0,2,3,60,11,6,9,0,,,,
antlion,Golbez (Dwarf Castle 2),Antlion,31,3002,20000,11000,5,99,68,0,0,0,0,0,0,27,27,0,,,,
antlion,Baron Guards (Baron Inn 1),Antlion,18,400,1440,1000,3,99,46,0,0,1,3,40,14,11,14,0,,,,
antlion,Baron Throne Room,Antlion,16,4000,5500,4000,3,99,44,0,0,2,10,50,48,15,15,0,,,,
antlion,Karate (Baron Inn 2),Antlion,31,4000,0,0,6,99,86,0,0,0,0,0,0,4,7,0,,,,
antlion,Eblan Royalty (Upper Babil 1),Antlion,15,6000,0,0,9,85,116,0,0,0,0,0,0,53,53,0,,,,
antlion,Leviatan (Feymarch),Antlion,79,35000,28000,0,13,99,174,0,0,5,10,80,47,53,53,0,,,,
antlion,Dr Lugae (Lower Babil - Top),Antlion,25,18943,26020,11000,6,99,86,0,0,1,0,0,0,27,27,0,,,,
antlion,Magus Sisters (Zot 1),Antlion,16,9000,9000,9000,5,80,60,0,0,2,3,60,11,7,7,0,,,,
antlion,Milon (Ordeals 1),Antlion,15,2780,3800,3300,1,75,19,0,0,2,0,0,0,8,8,0,,,,
antlion,Milon Z (Ordeals 2),Antlion,15,3000,4000,3000,3,99,44,0,0,1,6,40,22,9,9,0,,,,
antlion,Dark Knight Cecil (Ordeals 3),Antlion,17,1000,0,0,3,99,46,0,0,0,3,60,11,5,5,0,,,,
antlion,Mt Hobs,Antlion,15,1250,4360,1755,3,80,30,0,0,0,1,40,9,7,7,0,,,,
antlion,Watery Passage,Antlion,10,2350,1200,500,2,99,22,0,0,0,6,60,25,31,31,0,,,,
antlion,Odin (Baron Castle Basement),Antlion,53,20500,18000,0,9,85,116,0,0,3,7,50,32,43,46,0,,,,
antlion,Kaipo Inn,Antlion,11,302,880,245,3,75,26,0,0,2,2,60,12,2,4,0,,,,
antlion,Ogopogo (Lunar Core),Antlion,62,37000,61100,0,11,99,150,0,0,4,9,50,40,38,38,0,,,,
